t_index term      df
1754     jail  3
1755     jailbreak  1
1756     jam  3
1757     jame  9
1758     jami  1
1759     jan  6
1760     jana  1
1761     janet  1
1762     januari  2
1763     japan  7
1764     japanes  1
1765     javier  2
1766     jean  6
1767     jefferson  2
1768     jelena  4
1769     jennif  12
1770     jerom  2
1771     jerusalem  2
1772     jiang  2
1773     jim  13
1774     jimmi  1
1775     job  2
1776     jobless  1
1777     jockey  1
1778     joe  2
1779     john  22
1780     johnson  1
1781     join  19
1782     joint  2
1783     jolt  1
1784     jonathan  1
1785     jorg  1
1786     jose  1
1787     journalist  2
1788     journey  9
1789     jr  4
1790     juan  1
1791     juana  1
1792     judg  6
1793     judi  1
1794     jug  1
1795     julio  1
1796     jumbl  1
1797     junk  2
1798     junta  11
1799     jurenovich  2
1800     juri  1
1801     justic  7
1802     justin  3
1803     kafelnikov  3
1804     kahn  3
1805     kathleen  1
1806     keedysvil  1
1807     keeler  1
1808     keep  6
1809     keith  4
1810     ken  1
1811     kenedi  2
1812     kennedi  1
1813     kenneth  1
1814     kent  2
1815     kenya  2
1816     kept  2
1817     kera  1
1818     kerri  1
1819     key  6
1820     khou  1
1821     kick  2
1822     kid  2
1823     kidnap  3
1824     kill  112
1825     killer  4
1826     kilomet  1
1827     kim  2
1828     king  2
1829     kit  1
1830     kktvtv  1
1831     kline  2
1832     knack  2
1833     knifeedg  1
1834     knock  1
1835     knot  1
1836     know  13
1837     knowledg  1
1838     known  18
1839     kolesnikov  2
1840     kolubara  1
1841     konan  1
1842     korea  4
1843     kosovo  1
1844     kostunica  30
1845     kothari  1
1846     kournikova  4
1847     kremlin  1
1848     krugel  2
1849     kuchera  1
1850     kuerten  1
1851     kuerton  1
1852     kugel  1
1853     kursk  47
1854     kuwait  4
1855     la  6
1856     labor  4
1857     labori  1
1858     lack  1
1859     laden  6
1860     ladi  6
1861     lam  1
1862     lament  1
1863     lanchin  1
1864     land  7
1865     landmark  3
1866     landscap  2
1867     landslid  11
1868     landstuhl  1
1869     lap  1
1870     laps  7
1871     larg  4
1872     larger  3
1873     largess  1
1874     largest  8
1875     laron  1
1876     larri  2
1877     last  97
1878     lastminut  3
1879     late  18
1880     later  14
1881     latest  13
1882     latin  2
1883     launch  9
1884     lauran  1
1885     laurent  3
1886     laver  4
1887     law  6
1888     lawmak  3
1889     lawrenc  1
1890     lawyer  9
1891     lax  2
1892     lay  1
1893     lazio  2
1894     lead  20
1895     leader  57
1896     leadership  1
1897     leak  1
1898     learn  5
1899     least  36
1900     leav  26
1901     led  14
1902     lee  3
1903     lefortovo  1
1904     left  31
1905     leftist  4
1906     leg  1
1907     legal  1
1908     legendari  2
1909     legisl  1
1910     legislatur  1
1911     length  1
1912     leonard  1
1913     less  8
1914     let  5
1915     letter  7
1916     level  2
1917     liber  1
1918     libyan  1
1919     lie  3
1920     lien!  1
1921     life  11
1922     lift  3
1923     light  3
1924     lighter  1
1925     lightli  1
1926     like  32
1927     likin  1
1928     lima  4
1929     limit  2
1930     limousin  1
1931     limp  1
1932     lindsay  12
1933     lindsey  2
1934     line  8
1935     linger  1
1936     link  10
1937     lisa  4
1938     list  9
1939     listen  2
1940     lister  1
1941     littl  14
1942     live  13
1943     liveliest  1
1944     load  1
1945     loan  1
1946     lob  1
1947     local  8
1948     locat  1
1949     locu  1
1950     london  7
1951     lone  1
1952     long  21
1953     longer  2
1954     longestsought  1
1955     longplan  1
1956     longstand  1
1957     longterm  1
1958     longtim  2
1959     look  27
1960     loran  3
1961     lose  2
1962     loser  1
1963     loss  7
1964     lost  14
1965     lot  5
1966     loud  2
1967     loui  6
1968     love  3
1969     low  2
1970     loyalist  1
1971     loyalti  3
1972     lt  5
1973     lucki  2
1974     lui  4
1975     lumber  1
1976     lurin  1
1977     luther  1
1978     luxuri  3
1979     maceda  6
1980     machet  1
1981     machin  1
1982     machinist  1
1983     madden  1
1984     made  30
1985     madelein  7
1986     madelin  1
1987     magazin  1
1988     magnitud  14
1989     main  19
1990     mainli  1
1991     mainstay  1
1992     mainten  2
1993     maj  1
1994     major  18
1995     make  20
1996     makeshift  1
1997     malcolm  1
1998     malfunct  1
1999     malhotra  1
2000     mall  1
2001     man  25
2002     manag  7
2003     mangl  3
2004     mangu  1
2005     manhunt  6
2006     mani  28
2007     manipul  1
2008     manmad  2
2009     manufactur  1
2010     marat  3
2011     marathon  2
2012     marc  7
2013     march  8
2014     marco  1
2015     margin  1
2016     maria  1
2017     marin  2
2018     mark  11
2019     market  1
2020     marlin  1
2021     marquez  1
2022     marshallreport  1
2023     martin  5
2024     martina  11
2025     martinez  1
2026     martz  1
2027     marxist  2
2028     mass  7
2029     massacr  2
2030     massif  1
2031     massiv  20
2032     master  3
2033     mastermind  1
2034     match  9
2035     mate  1
2036     materi  2
2037     matter  1
2038     matthew  1
2039     maximum  8
2040     maximumsecur  4
2041     may  31
2042     mcalest  2
2043     mcdougal  2
2044     mcenro  1
2045     md  1
2046     mean  4
2047     meant  1
2048     meanwhil  6
2049     measur  12
2050     mechan  1
2051     mechanicsvil  1
2052     media  2
2053     mediat  1
2054     medic  6
2055     medicar  1
2056     mediumlevel  1
2057     meet  17
2058     meghann  2
2059     mel  26
2060     melbourn  8
2061     mele  2
2062     member  28
2063     memo  2
2064     memori  8
2065     men  36
2066     mend  3
2067     mention  2
2068     menu  1
2069     mere  2
2070     mershon  1
2071     mess  2
2072     messag  3
2073     met  9
2074     metal  4
2075     metaphor  1
2076     mexican  1
2077     mexico  6
2078     miami  1
2079     miamid  1
2080     miamidad  1
2081     michael  6
2082     michel  1
2083     microscop  1
2084     mid  1
2085     middecemb  1
2086     middl  23
2087     middleclass  2
2088     mideast  1
2089     midnight  1
2090     midway  2
2091     might  5
2092     mike  2
2093     miklaszewski  6
2094     mile  7
2095     milit  4
2096     militari  45
2097     militarili  2
2098     milken  5
2099     million  13
2100     milosev  88
2101     minaret  2
2102     mind  1
2103     mine  10
2104     miner  4
2105     mingl  1
2106     minh  6
2107     miniatur  1
2108     minist  22
2109     ministri  1
2110     minor  1
2111     minut  15
2112     miracl  1
2113     miracul  1
2114     miroslav  1
2115     misconstru  1
2116     misdemeanor  2
2117     mishandl  1
2118     misrepres  1
2119     miss  27
2120     missil  6
2121     mission  7
2122     mississippi  2
2123     missouri  28
2124     missourian  1
2125     mitchel  2
2126     mix  2
2127     mladjan  1
2128     mob  7
2129     mobil  1
2130     moder  1
2131     modern  2
2132     modest  1
2133     modifi  1
2134     moham  1
2135     molass  1
2136     moment  14
2137     momentum  2
2138     monday  65
2139     money  4
2140     monica  8
2141     monitor  2
2142     montana  1
2143     montenegro  1
2144     montesino  6
2145     month  58
2146     monthold  1
2147     moon  1
2148     moor  2
2149     moral  3
2150     morariu  4
2151     morgu  1
2152     morn  14
2153     morrano  1
2154     morton  2
2155     moscow  28
2156     mosquito  1
2157     mostli  4
2158     motel  1
2159     mother  4
2160     motor  3
2161     mound  1
2162     mount  7
2163     mountain  8
2164     mourn  4
2165     mourner  3
2166     move  13
2167     movi  2
2168     mph  1
2169     mr  28
2170     much  23
2171     muchawait  1
2172     mud  1
2173     muddl  1
2174     mudslid  2
2175     mugab  1
2176     mullin  4
2177     multipl  1
2178     municip  1
2179     murder  6
2180     murki  1
2181     murphi  2
2182     music  2
2183     muslim  3
2184     must  4
2185     mustnt  1
2186     mute  1
2187     mutter  1
2188     mysteri  2
2189     nam  4
2190     name  9
2191     nanci  1
2192     narayan  1
2193     narrow  2
2194     nation  34
2195     nationalist  1
2196     nationwid  5
2197     nativ  2
2198     nato  4
2199     natur  5
2200     nauf  1
2201     naval  17
2202     navi  77
2203     nbc  29
2204     nd  1
2205     near  24
2206     nearbi  3
2207     nearli  11
2208     need  6
2209     neglig  2
2210     negoti  3
2211     neighbor  6
2212     neighborhood  9
2213     neither  1
2214     nenad  1
2215     neocommunist  2
2216     nepal  2
2217     nervous  1
2218     net  3
2219     network  5
2220     never  6
2221     new  76
2222     newburi  2
2223     newest  1
2224     newli  7
2225     news  70
2226     newspap  3
2227     next  23
2228     ng  1
2229     nic  1
2230     nicaragua  1
2231     nick  1
2232     nicola  1
2233     night  27
2234     nighttim  1
2235     nina  1
2236     nine  5
2237     nixon  2
2238     nobodi  1
2239     nomin  2
2240     nomine  2
2241     none  2
2242     nonstop  1
2243     noon  3
2244     norfolk  8
2245     normal  2
2246     norman  3
2247     north  4
2248     northern  2
2249     northwest  1
2250     northwestern  2
2251     norway  3
2252     norwegian  17
2253     notabl  1
2254     note  10
2255     noth  5
2256     notic  1
2257     notori  1
2258     nov  3
2259     novemb  2
2260     nowher  2
2261     npr  5
2262     nuclear  31
2263     nuclearpow  1
2264     null  1
2265     number  14
2266     numer  1
2267     nurs  1
2268     oath  2
2269     object  1
2270     oblig  1
2271     observ  3
2272     obtain  7
2273     obvious  2
2274     occasion  1
2275     occup  1
2276     occur  2
2277     ocean  2
2278     oct  3
2279     octob  18
2280     odd  1
2281     offend  1
2282     offens  1
2283     offer  5
2284     offic  49
2285     offici  110
2286     offshor  1
2287     often  4
2288     ofussia  1
2289     oil  2
2290     ok  1
2291     okla  2
2292     oklahoma  1
2293     old  5
2294     olsen  1
2295     olymp  3
2296     olympian  1
2297     oncepow  1
2298     oncourt  1
2299     one  88
2300     onetim  5
2301     ongo  1
2302     onscen  1
2303     onto  6
2304     open  59
2305     openair  1
2306     oper  15
2307     oppon  5
2308     opportun  1
2309     oppos  1
2310     opposit  57
2311     oppositioncontrol  1
2312     option  2
2313     orano  1
2314     ordeal  1
2315     order  7
2316     ordnanc  1
2317     organ  4
2318     orient  1
2319     origin  2
2320     orthoped  1
2321     osama  6
2322     other  15
2323     otherwis  1
2324     ouattara  5
2325     oust  11
2326     ouster  1
2327     outboard  1
2328     outbreak  2
2329     outburst  1
2330     outcom  7
2331     outer  3
2332     outgo  2
2333     outlast  2
2334     outlaw  3
2335     outlet  1
2336     outmaneuv  2
2337     outrag  4
2338     outsid  13
2339     overcom  1
2340     overh  1
2341     overlook  1
2342     overnight  3
2343     overpow  4
2344     overse  3
2345     oversea  6
2346     overshadow  2
2347     overthrow  1
2348     overthrown  1
2349     overtim  1
2350     overton  1
2351     overturff  1
2352     overturn  1
2353     overwhelm  2
2354     owen  1
2355     owner  1
2356     pa  1
2357     pace  1
2358     pacif  4
2359     pack  1
2360     page  3
2361     paid  3
2362     pain  1
2363     paint  2
2364     pair  2
2365     pajoli  1
2366     pakistan  4
2367     pakistani  1
2368     palac  2
2369     pale  1
2370     palestinian  10
2371     pall  2
2372     pallbear  1
2373     pan  1
2374     panamericana  1
2375     pandya  1
2376     panel  2
2377     paniagua  8
2378     panic  1
2379     paper  2
2380     parad  2
2381     pardon  51
2382     pari  2
2383     pariah  2
2384     park  2
2385     parliament  19
2386     parliamentari  1
2387     parodi  1
2388     parol  1
2389     part  22
2390     parti  15
2391     particip  1
2392     particular  2
2393     partli  1
2394     partner  4
2395     partnership  1
2396     pascagoula  1
2397     paso  1
2398     pasricha  1
2399     pass  4
2400     passion  1
2401     past  12
2402     path  1
2403     pathway  1
2404     patient  1
2405     patricia  1
2406     patrick  9
2407     patrol  1
2408     patti  1
2409     paubl  1
2410     pauli  1
2411     pave  2
2412     pay  1
2413     payment  1
2414     peac  11
2415     peltier  1
2416     penalti  2
2417     pend  2
2418     peninsula  6
2419     pent  1
2420     pentag  1
2421     pentagon  33
2422     peopl  86
2423     pepper  1
2424     percent  1
2425     perch  3
2426     perez  3
2427     perform  1
2428     pergram  1
2429     perhap  4
2430     period  2
2431     perish  2
2432     perman  2
2433     persian  13
2434     persiangulf  1
2435     person  6
2436     personnel  2
2437     persuad  4
2438     peru  34
2439     peruvian  15
2440     pervas  1
2441     pete  8
2442     peter  2
2443     petersburg  1
2444     phone  5
2445     photo  2
2446     physic  2
2447     pick  9
2448     pictur  3
2449     piec  1
2450     pierc  1
2451     piggyback  1
2452     pilot  3
2453     pin  1
2454     pink  1
2455     place  15
2456     plagu  1
2457     plan  30
2458     plane  28
2459     plaster  1
2460     platt  1
2461     play  10
2462     player  11
2463     plea  2
2464     plead  3
2465     pledg  14
2466     plot  4
2467     plow  1
2468     plum  1
2469     plume  1
2470     plush  1
2471     plust  1
2472     pm  2
2473     pocket  2
2474     podgorica  1
2475     point  15
2476     pois  1
2477     poland  1
2478     pole  2
2479     polic  35
2480     policeman  2
2481     policemen  1
2482     polici  16
2483     policymak  3
2484     polish  1
2485     polit  40
2486     politician  5
2487     politika  1
2488     poll  5
2489     ponder  1
2490     pope  43
2491     popul  1
2492     popular  10
2493     port  34
2494     portsid  1
2495     portsmouth  1
2496     posit  2
2497     possibl  21
2498     post  8
2499     poster  1
2500     postpon  3
2501     postur  1
2502     potenti  3
2503     pound  2
2504     pour  4
2505     poverti  2
2506     powel  1
2507     power  69
2508     prais  2
2509     pray  1
2510     precari  1
2511     precaut  3
2512     preced  1
2513     precis  1
2514     predict  1
2515     prepar  14
2516     prescript  1
2517     presenc  2
2518     present  8
2519     presid  269
2520     presiden  1
2521     presidentelect  5
2522     presidenti  73
2523     press  6
2524     pressur  8
2525     presum  6
2526     pretti  1
2527     prevail  2
2528     prevent  7
2529     previous  5
2530     prime  12
2531     princ  1
2532     princip  1
2533     prinosil  2
2534     prior  1
2535     prison  64
2536     privaci  1
2537     privat  2
2538     prize  1
2539     probabl  2
2540     probe  9
2541     problem  6
2542     procedur  1
2543     proceed  2
2544     process  2
2545     proclaim  1
2546     prodemocraci  5
2547     produc  1
2548     product  1
2549     profession  1
2550     profil  1
2551     progeni  1
2552     progovern  1
2553     progress  4
2554     projectil  1
2555     promilosev  1
2556     promin  3
2557     promis  11
2558     promot  1
2559     prompt  3
2560     proof  1
2561     prope  1
2562     properti  1
2563     proport  1
2564     propos  1
2565     prosecut  6
2566     prosecutor  13
2567     prospect  2
2568     prosper  3
2569     prote  1
2570     protect  6
2571     protest  25
2572     protestor  2
2573     proud  1
2574     provid  3
2575     provinc  1
2576     psycholog  1
2577     public  9
2578     publicli  1
2579     pull  14
2580     punch  2
2581     punish  8
2582     purchas  4
2583     purport  1
2584     purs  1
2585     pursu  4
2586     push  6
2587     put  10
2588     putin  16
2589     putsch  1
2590     puzzl  1
2591     quak  25
2592     quang  1
2593     quarten  1
2594     quarter  7
2595     quarterfin  4
2596     question  22
2597     quick  1
2598     quickli  8
2599     quiet  3
2600     quit  3
2601     quiz  1
2602     quot  3
2603     quotear  1
2604     quran  2
2605     race  19
2606     racial  2
2607     racket  1
2608     radic  3
2609     radio  2
2610     rafter  5
2611     rag  1
2612     rage  2
2613     rain  3
2614     raini  3
2615     rais  9
2616     rajesh  1
2617     ralli  10
2618     rambo  4
2619     ramirez  2
2620     rampal  1
2621     ramstein  1
2622     ran  1
2623     rang  1
2624     rank  1
2625     rape  2
2626     rapist  3
2627     rare  11
2628     rather  2
2629     rattl  2
2630     raucou  1
2631     ravag  2
2632     raven  1
2633     ray  5
2634     rd  6
2635     reach  22
2636     reaction  2
2637     read  7
2638     readi  3
2639     real  1
2640     realiti  1
2641     realli  4
2642     reappear  1
2643     rear  2
2644     reason  2
2645     reassess  1
2646     rebecca  1
2647     rebellion  1
2648     rebound  1
2649     rebuild  1
2650     recap  1
2651     recaptur  3
2652     reced  1
2653     receiv  8
2654     recent  11
2655     reckon  4
2656     recogn  2
2657     recommend  10
2658     reconcili  2
2659     reconstruct  1
2660     record  3
2661     recov  32
2662     recoveri  9
2663     recreat  1
2664     recruit  1
2665     recuper  1
2666     red  3
2667     redcarpet  2
2668     redey  1
2669     reelect  3
2670     refer  1
2671     reform  5
2672     refresh  1
2673     refuel  12
2674     refuge  2
2675     refus  2
2676     refut  1
2677     regain  5
2678     regim  6
2679     region  7
2680     regist  3
2681     registr  1
2682     regret  1
2683     rehears  1
2684     reign  3
2685     reinforc  2
2686     reject  5
2687     rejoic  1
2688     rel  8
2689     relat  6
2690     relationship  2
2691     relax  1
2692     releas  15
2693     relentless  1
2694     relev  1
2695     reli  1
2696     relief  8
2697     religi  1
2698     relinquish  2
2699     reluct  1
2700     remain  32
2701     remark  2
2702     rematch  1
2703     rememb  6
2704     remind  2
2705     remnant  2
2706     remot  2
2707     remov  7
2708     renaiss  1
2709     renew  2
2710     rent  1
2711     rep  1
2712     repair  8
2713     replac  3
2714     repli  1
2715     report  71
2716     reportedli  5
2717     repres  5
2718     republ  5
2719     republican  32
2720     reput  2
2721     request  11
2722     requir  2
2723     rescu  27
2724     rescuer  17
2725     research  1
2726     reserv  2
2727     reshap  3
2728     resid  8
2729     resign  32
2730     resili  2
2731     resist  2
2732     resolut  1
2733     resolv  3
2734     resort  2
2735     resourcerich  1
2736     respect  1
2737     respiratori  1
2738     respond  4
2739     respons  20
2740     rest  5
2741     restor  7
2742     restrict  1
2743     result  12
2744     resum  9
2745     resurg  1
2746     retain  3
2747     retali  5
2748     retir  12
2749     retract  1
2750     retreat  1
2751     retribut  1
2752     retriev  5
2753     retrospect  1
2754     return  27
2755     reunion  1
2756     reveal  4
2757     revel  1
2758     revenu  1
2759     reverber  1
2760     review  15
2761     revis  5
2762     reviv  2
2763     revok  1
2764     revolt  4
2765     revolut  5
2766     reward  5
2767     rfla  1
2768     riad  1
2769     ribbon  1
2770     ricardo  1
2771     rich  9
2772     richard  3
2773     richter  5
2774     rick  2
2775     rid  2
2776     ride  1
2777     rig  2
2778     rigg  4
2779     right  8
2780     ring  2
2781     ringlead  1
2782     riot  3
2783     rip  6
2784     rippl  1
2785     rippner  4
2786     rise  10
2787     risen  1
2788     risk  3
2789     riski  1
2790     rittner  1
2791     riva  2
2792     rival  7
2793     rivalri  1
2794     riyadh  1
2795     road  4
2796     roadblock  3
2797     roam  1
2798     rob  1
2799     robb  4
2800     robberi  5
2801     rober  1
2802     robert  11
2803     robertson  1
2804     rochel  1
2805     rock  8
2806     rockcut  1
2807     rocketpropel  2
2808     rod  5
2809     rodger  1
2810     rodham  9
2811     rodway  1
2812     roger  3
2813     role  4
2814     roll  2
2815     rome  1
2816     ron  4
2817     ronald  1
2818     ronni  1
2819     roof  1
2820     room  5
2821     rosa  1
2822     rose  4
2823     rosenfield  1
2824     rostenkowski  1
2825     rot  1
2826     rough  1
2827     roughshod  1
2828     round  18
2829     rout  2
2830     routin  2
2831     roy  2
2832     rubber  2
2833     rubbl  17
2834     ruesta  1
2835     ruin  6
2836     rule  31
2837     ruler  9
2838     rumbl  1
2839     rumor  3
2840     run  23
2841     rundown  2
2842     runoff  2
2843     rural  2
2844     ruse  1
2845     rusedski  1
2846     rush  3
2847     russia  37
2848     russian  72
2849     ruthless  2
2850     rv  2
2851     sabotag  1
2852     sad  4
2853     sadden  1
2854     saeed  1
2855     safe  2
2856     safeti  5
2857     safin  3
2858     said  144
2859     saigon  8
2860     sail  1
2861     sailor  94
2862     sala  5
2863     salazar  1
2864     saleh  1
2865     saler  1
2866     salvador  31
2867     salvadoran  5
2868     salvadorian  1
2869     salvag  3
2870     sam  1
2871     sampra  8
2872     san  5
2873     sana  1
2874     sanction  6
2875     sander  1
2876     sandi  1
2877     sandiego  1
2878     sandra  1
2879     sank  11
2880     santa  3
2881     sat  2
2882     saturday  78
2883     saudi  12
2884     save  2
2885     saw  5
2886     say  95
2887     scale  6
2888     scalp  1
2889     scandal  12
2890     scandinavian  1
2891     scene  8
2892     schaffer  1
2893     schedul  4
2894     school  3
2895     schwarzkopf  1
2896     scientist  3
2897     score  7
2898     scour  1
2899     scrambl  3
2900     scrambler  1
2901     scrap  1
2902     scrape  1
2903     scrawl  1
2904     scrawni  1
2905     scream  2
2906     screen  1
2907     scribbl  2
2908     scriptur  1
2909     scrutini  1
2910     sea  23
2911     seal  1
2912     seam  1
2913     seaman  2
2914     seamen  4
2915     sean  1
2916     seaport  1
2917     sear  1
2918     search  54
2919     searcher  3
2920     season  5
2921     seat  8
2922     seattlebas  1
2923     sebastien  2
2924     sebek  1
2925     second  19
2926     secondseed  1
2927     secret  5
2928     secretari  32
2929     secretarygener  2
2930     section  3
2931     secur  44
2932     see  1
2933     seed  15
2934     seek  17
2935     seem  9
2936     seen  2
2937     seismolog  1
2938     seismologist  1
2939     seiz  5
2940     sele  9
2941     selfdoubt  2
2942     selfproclaim  1
2943     selfprotect  1
2944     semi  3
2945     semifin  4
2946     sen  9
2947     senat  38
2948     senatorelect  1
2949     send  5
2950     senelect  1
2951     senior  13
2952     sens  2
2953     sent  14
2954     sentenc  21
2955     sentiment  2
2956     separ  1
2957     sept  2
2958     septemb  3
2959     serafin  1
2960     serb  7
2961     serbia  14
2962     serbian  10
2963     serena  11
2964     serheo  1
2965     seri  2
2966     seriou  4
2967     serious  1
2968     serv  4
2969     servant  1
2970     serveandvolley  2
2971     servic  15
2972     servicemen  3
2973     servil  1
2974     session  3
2975     set  22
2976     setback  2
2977     settl  4
2978     seven  50
2979     sevenstori  1
2980     seventeen  2
2981     sevenweek  1
2982     sever  24
2983     seymour  1
2984     shaar  1
2985     shack  1
2986     shadow  1
2987     shadowi  1
2988     shaher  1
2989     shake  3
2990     shaken  2
2991     shaki  1
2992     shambl  3
2993     shape  1
2994     share  1
2995     sharp  1
2996     sharpli  2
2997     shatter  5
2998     shaughnessi  2
2999     she  1
3000     shed  1
3001     shell  2
3002     shelton  1
3003     shepherd  1
3004     sheriff  1
3005     sherri  1
3006     shiela  1
3007     shift  4
3008     ship  46
3009     shipbuild  1
3010     shipmat  5
3011     shipyard  3
3012     shirt  2
3013     shiver  1
3014     shkval  1
3015     shock  4
3016     shoe  2
3017     shoeleath  2
3018     shook  13
3019     shootout  1
3020     shop  1
3021     short  9
3022     shortstaf  1
3023     shot  4
3024     shotmak  1
3025     shout  2
3026     shovel  2
3027     show  13
3028     showdown  2
3029     shower  1
3030     shown  2
3031     shrewd  1
3032     shrink  1
3033     shun  1
3034     shut  1
3035     shuttl  2
3036     sibl  1
3037     side  8
3038     sieg  1
3039     siev  5
3040     sign  5
3041     signal  3
3042     silenc  1
3043     silent  1
3044     silvia  1
3045     similarli  1
3046     simpl  2
3047     simpli  1
3048     sinc  29
3049     singapor  1
3050     singer  2
3051     singl  1
3052     singular  1
3053     sink  4
3054     sister  6
3055     sit  2
3056     site  9
3057     situat  4
3058     six  17
3059     sixmemb  1
3060     sixth  4
3061     sixweek  2
3062     sixyear  1
3063     size  1
3064     sketch  6
3065     skiff  1
3066     skin  1
3067     skip  1
3068     skipper  1
3069     skirt  1
3070     sky  1
3071     slab  1
3072     slam  11
3073     slate  2
3074     slay  1
3075     sleep  1
3076     slice  4
3077     slid  1
3078     slide  1
3079     slightest  1
3080     slightli  3
3081     slip  2
3082     slobodan  84
3083     slouch  1
3084     slovakia  1
3085     slow  4
3086     slowli  4
3087     sluggish  1
3088     slump  1
3089     small  17
3090     smaller  1
3091     smell  2
3092     smile  1
3093     smoke  7
3094     smolinski  1
3095     smooth  1
3096     snarl  1
3097     sneaker  1
3098     sniffer  3
3099     snowcov  1
3100     soak  1
3101     socal  1
3102     social  1
3103     socialist  5
3104     societi  1
3105     sock  1
3106     soldier  11
3107     solemn  1
3108     solidifi  1
3109     solut  3
3110     somalia  3
3111     someday  1
3112     someon  2
3113     someth  4
3114     sometim  1
3115     somewher  1
3116     son  13
3117     soon  4
3118     sooner  1
3119     sophist  3
3120     sore  1
3121     sorri  1
3122     sought  1
3123     sound  3
3124     sour  1
3125     sourc  17
3126     south  17
3127     southeast  1
3128     southern  6
3129     soviet  3
3130     span  1
3131     spark  1
3132     spat  1
3133     speak  5
3134     speaker  1
3135     special  8
3136     specialist  2
3137     specif  5
3138     spectacular  1
3139     spectat  1
3140     speech  4
3141     speedskat  1
3142     spell  3
3143     spenc  1
3144     spend  3
3145     spent  9
3146     spi  19
3147     spine  1
3148     spirit  2
3149     split  1
3150     spoil  1
3151     spoke  3
3152     spoken  1
3153     spokesman  6
3154     spokeswoman  1
3155     sport  20
3156     spot  3
3157     spotlight  1
3158     spous  2
3159     spraig  1
3160     sprain  4
3161     spread  8
3162     spring  3
3163     sprout  2
3164     spymast  1
3165     squad  2
3166     squall  1
3167     squar  1
3168     squeez  1
3169     squish  1
3170     st  5
3171     stabil  2
3172     stabl  1
3173     stack  2
3174     stadium  2
3175     staff  3
3176     stage  8
3177     stake  3
3178     stand  6
3179     star  4
3180     start  11
3181     stasio  1
3182     state  119
3183     statement  6
3184     staterun  1
3185     station  9
3186     statu  1
3187     staunchli  1
3188     stay  11
3189     steadi  1
3190     steal  1
3191     stealth  1
3192     steel  1
3193     steer  1
3194     stem  3
3195     step  15
3196     stephanopoulo  1
3197     steven  1
3198     stevenson  3
3199     stick  2
3200     stiff  1
3201     stifl  1
3202     still  32
3203     stitch  1
3204     stomach  1
3205     stood  4
3206     stool  2
3207     stop  8
3208     store  5
3209     stori  35
3210     storm  10
3211     stormi  1
3212     straight  3
3213     straightset  1
3214     strang  1
3215     strateg  1
3216     strategi  1
3217     streak  1
3218     street  29
3219     strengthen  2
3220     stress  1
3221     stretch  2
3222     stricken  2
3223     strike  21
3224     strikebound  3
3225     strive  1
3226     stroke  1
3227     strong  11
3228     stronghold  1
3229     strongli  2
3230     strongman  2
3231     struck  14
3232     structur  2
3233     struggl  7
3234     stubborn  1
3235     stuck  1
3236     student  3
3237     studi  1
3238     stuff  1
3239     stun  7
3240     style  3
3241     sub  3
3242     subcontin  2
3243     subject  2
3244     submachin  1
3245     submarin  51
3246     submit  4
3247     subsidiari  1
3248     suburb  4
3249     subvers  2
3250     succeed  4
3251     success  7
3252     successor  4
3253     succumb  1
3254     sudden  5
3255     sue  1
3256     suez  2
3257     suffer  1
3258     suggest  9
3259     suicid  21
3260     suit  4
3261     sultri  1
3262     summari  1
3263     summer  2
3264     summit  4
3265     sun  1
3266     sunday  62
3267     sunglass  1
3268     sunken  20
3269     sunris  1
3270     sunsplash  1
3271     superpow  1
3272     supervis  1
3273     supervisor  2
3274     suppli  6
3275     support  31
3276     suppos  2
3277     suprem  4
3278     supremacist  1
3279     surfac  3
3280     surgeon  2
3281     surpris  3
3282     surreal  1
3283     surrend  7
3284     surround  4
3285     survey  2
3286     surviv  16
3287     survivor  38
3288     susan  7
3289     susann  1
3290     suscept  1
3291     suspect  24
3292     suspend  2
3293     suspens  3
3294     suspicion  2
3295     swami  1
3296     swan  2
3297     swarm  3
3298     swear  1
3299     swearingin  1
3300     sweat  1
3301     sweden  1
3302     sweep  2
3303     sweeten  1
3304     swept  4
3305     swift  1
3306     swiftli  1
3307     switch  3
3308     switzerland  1
3309     swoop  1
3310     sworn  8
3311     sy  1
3312     sylvia  1
3313     symbol  1
3314     system  1
3315     systemat  1
3316     tabl  1
3317     tableau  2
3318     take  27
3319     taken  5
3320     takeov  2
3321     taliban  1
3322     talk  13
3323     tamarin  1
3324     tame  1
3325     tanang  1
3326     tanasugarn  1
3327     tanjug  1
3328     tantrum  1
3329     tanugu  1
3330     tanzania  1
3331     tap  2
3332     target  6
3333     tarmac  1
3334     task  7
3335     tast  2
3336     tax  1
3337     taxevas  1
3338     teacher  2
3339     team  16
3340     tear  5
3341     tearga  1
3342     technic  1
3343     technician  3
3344     techniqu  1
3345     technolog  2
3346     tecla  2
3347     ted  1
3348     teen  1
3349     teenag  2
3350     tekla  1
3351     teleconfer  1
3352     telephon  6
3353     televis  12
3354     tell  7
3355     teller  1
3356     temperatur  1
3357     ten  20
3358     tenni  15
3359     tens  6
3360     tent  3
3361     tenur  1
3362     ter  1
3363     term  4
3364     termend  1
3365     terrenc  2
3366     terribl  1
3367     terrifi  1
3368     terrifyingli  1
3369     territori  1
3370     terror  15
3371     terrorist  89
3372     test  2
3373     testifi  2
3374     testimoni  2
3375     texa  50
3376     text  1
3377     th  8
3378     thank  21
3379     thanksgiv  1
3380     that  8
3381     thenmissouri  1
3382     there  7
